,School_Name,School_Level,Establishment_Date,Establishment_Type,Branch_Type,Address,city,gu,dong,Latitude,Longitude
1027,서울안산초등학교,초등학교,1937-11-30,공립,본교,서울특별시 서대문구 홍제동 44,서울특별시,서대문구,홍제동,37.57916901,126.9522097
1028,한영외국어고등학교,고등학교,1990-04-18,사립,본교,서울특별시 강동구 상일동 166,서울특별시,강동구,상일동,37.54914056,127.1577731
1029,옥천초등학교,초등학교,1982-03-02,공립,본교,부산광역시 사하구 괴정동 472-4,부산광역시,사하구,괴정동,35.09388695,128.9936902
1030,서울길동초등학교,초등학교,1974-06-07,공립,본교,서울특별시 강동구 길동 362,서울특별시,강동구,길동,37.5385062,127.1449729
1031,숭실중학교,중학교,1897-10-10,사립,본교,서울특별시 은평구 신사동 300-88,서울특별시,은평구,신사동,37.59327482,126.9024039
1032,개웅중학교,중학교,1987-02-12,공립,본교,서울특별시 구로구 개봉동 273-15,서울특별시,구로구,개봉동,37.4875269,126.8510711
1033,장충고등학교,고등학교,1947-09-01,사립,본교,서울특별시 중구 신당동 432-460,서울특별시,중구,신당동,37.5535149,127.006415
1034,서울공릉초등학교,초등학교,1979-04-04,공립,본교,서울특별시 노원구 공릉동 610-1,서울특별시,노원구,공릉동,37.61861443,127.0746314
1035,덕수중학교,중학교,1910-04-13,공립,본교,서울특별시 중구 인현동2가 3,서울특별시,중구,인현동2가,37.56557957,126.9969973
1036,서울동명초등학교,초등학교,1944-10-10,공립,본교,서울특별시 성동구 마장동 556,서울특별시,성동구,마장동,37.56812285,127.0351082
1037,성심여자고등학교,고등학교,1960-04-01,사립,본교,서울특별시 용산구 원효로4가 1-1,서울특별시,용산구,원효로4가,37.53420937,126.9545934
1038,센텀초등학교,초등학교,2006-05-06,공립,본교,부산광역시 해운대구 재송동 1198,부산광역시,해운대구,재송동,35.18114063,129.1219392
1039,서울개일초등학교,초등학교,1987-11-17,공립,본교,서울특별시 강남구 개포동 174,서울특별시,강남구,개포동,37.48621414,127.0577406
1040,광운초등학교,초등학교,1965-10-25,사립,본교,서울특별시 성북구 장위동 130,서울특별시,성북구,장위동,37.61906522,127.0550771
1041,서울백운초등학교,초등학교,1980-09-30,공립,본교,서울특별시 도봉구 쌍문동 422-2,서울특별시,도봉구,쌍문동,37.65264151,127.0136725
1042,녹산초등학교,초등학교,2015-03-01,공립,본교,부산광역시 강서구 지사동 1184-2,부산광역시,강서구,지사동,35.15147548,128.8371146
1043,우암초등학교,초등학교,1959-04-01,공립,본교,부산광역시 남구 우암동 133-9,부산광역시,남구,우암동,35.12534348,129.0763824
1044,길음중학교,중학교,2012-03-01,공립,본교,서울특별시 성북구 길음동 635-7,서울특별시,성북구,길음동,37.61409036,127.0174557
1045,창문여자중학교,중학교,1972-10-10,사립,본교,서울특별시 강북구 미아동 8-16,서울특별시,강북구,미아동,37.6134057,127.0357962
1046,방배중학교,중학교,1981-04-30,공립,본교,서울특별시 서초구 반포동 586-1,서울특별시,서초구,반포동,37.49486827,126.997827
1047,보인중학교,중학교,1908-06-08,사립,본교,서울특별시 송파구 오금동 162,서울특별시,송파구,오금동,37.4975692,127.1395178
1048,광남초등학교,초등학교,1979-05-07,공립,본교,부산광역시 수영구 남천동 147,부산광역시,수영구,남천동,35.14507201,129.1134257
1049,연서중학교,중학교,1971-10-28,공립,본교,서울특별시 은평구 증산동 193-21,서울특별시,은평구,증산동,37.58704446,126.9092766
1050,서울덕수초등학교,초등학교,1912-04-01,공립,본교,서울특별시 중구 정동 1-76,서울특별시,중구,정동,37.56908888,126.9746579
1051,서울북가좌초등학교,초등학교,1969-03-24,공립,본교,서울특별시 서대문구 북가좌동 376-17,서울특별시,서대문구,북가좌동,37.57722021,126.9077782
1052,개림초등학교,초등학교,1997-09-01,공립,본교,부산광역시 부산진구 개금동 446-14,부산광역시,부산진구,개금동,35.15633731,129.0161716
1053,환일중학교,중학교,1947-06-24,사립,본교,서울특별시 중구 만리동2가 218-2,서울특별시,중구,만리동2가,37.55360775,126.9628071
1054,금곡중학교,중학교,1995-03-01,공립,본교,부산광역시 북구 금곡동 99-2,부산광역시,북구,금곡동,35.26085915,129.0171529
1055,북서울중학교,중학교,1985-12-08,공립,본교,서울특별시 도봉구 도봉동 585,서울특별시,도봉구,도봉동,37.68154186,127.0428342
1056,동평초등학교,초등학교,1976-03-01,공립,본교,부산광역시 부산진구 당감동 705-1,부산광역시,부산진구,당감동,35.16771037,129.0352077
1057,금창초등학교,초등학교,1994-11-11,공립,본교,부산광역시 북구 금곡동 56-2,부산광역시,북구,금곡동,35.26569046,129.0197456
1058,충암초등학교,초등학교,1966-11-09,사립,본교,서울특별시 은평구 응암동 746-17,서울특별시,은평구,응암동,37.58464029,126.9218095
1059,서울대왕초등학교,초등학교,1933-05-01,공립,본교,서울특별시 강남구 세곡동 517,서울특별시,강남구,세곡동,37.46462117,127.1055912
1060,신정초등학교,초등학교,2009-03-01,공립,본교,부산광역시 기장군 정관읍 용수리 1358,부산광역시,기장군,정관읍,35.32865657,129.1676858
1061,서울양전초등학교,초등학교,1989-05-06,공립,본교,서울특별시 강남구 개포동 183,서울특별시,강남구,개포동,37.49028284,127.0694253
1062,하남초등학교,초등학교,1993-04-27,공립,본교,부산광역시 사하구 하단동 1181-25,부산광역시,사하구,하단동,35.09953035,128.9600692
1063,중동중학교,중학교,1906-05-10,사립,본교,서울특별시 강남구 일원동 692,서울특별시,강남구,일원동,37.48851679,127.078612
1064,매원초등학교,초등학교,1964-03-09,사립,본교,서울특별시 성북구 돈암동 45-88,서울특별시,성북구,돈암동,37.59767468,127.0191869
1065,재송초등학교,초등학교,1982-04-28,공립,본교,부산광역시 해운대구 재송동 1120-3,부산광역시,해운대구,재송동,35.18643767,129.1277656
1066,서울창천초등학교,초등학교,1940-04-01,공립,본교,서울특별시 마포구 노고산동 33-1,서울특별시,마포구,노고산동,37.55491782,126.9392951
1067,모동초등학교,초등학교,1994-03-01,공립,본교,부산광역시 사상구 모라동 75-11,부산광역시,사상구,모라동,35.18522962,129.0018958
1068,서울대방초등학교,초등학교,1955-04-27,공립,본교,서울특별시 영등포구 신길동 1444,서울특별시,영등포구,신길동,37.50290012,126.9190202
1069,대천리중학교,중학교,1996-01-17,공립,본교,부산광역시 북구 화명동 509,부산광역시,북구,화명동,35.24235441,129.0216974
1070,서울경수초등학교,초등학교,1982-04-29,공립,본교,서울특별시 성동구 성수동2가 268,서울특별시,성동구,성수동2가,37.54043667,127.0580668
