"구·군별(1)",구·군별(2),2017.12,2017.12,2017.12,2017.12,2017.12,2017.12,2017.12,2017.12,2017.12,2017.12,2017.12,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01,2018.01
"구·군별(1)",구·군별(2),총인구,총인구,총인구,총인구,한국인,한국인,한국인,한국인,외국인,외국인,외국인,총인구,총인구,총인구,총인구,한국인,한국인,한국인,한국인,외국인,외국인,외국인
"구·군별(1)",구·군별(2),세대수 (세대),인구 (명),남자인구 (명),여자인구 (명),세대수 (세대),인구 (명),남자인구 (명),여자인구 (명),인구 (명),남자인구 (명),여자인구 (명),세대수 (세대),인구 (명),남자인구 (명),여자인구 (명),세대수 (세대),인구 (명),남자인구 (명),여자인구 (명),인구 (명),남자인구 (명),여자인구 (명)
"동구",좌천동,5237,11536,5607,5929,5237,11466,5583,5883,70,24,46,5241,11516,5590,5926,5241,11447,5566,5881,69,24,45
"동구",범일1동,6207,13142,6527,6615,6207,13063,6503,6560,79,24,55,6208,13137,6518,6619,6208,13058,6494,6564,79,24,55
"동구",범일2동,4514,9426,4705,4721,4514,9336,4667,4669,90,38,52,4521,9427,4717,4710,4521,9337,4679,4658,90,38,52
"동구",범일5동,2839,5627,2783,2844,2839,5613,2780,2833,14,3,11,2862,5709,2821,2888,2862,5695,2818,2877,14,3,11
"영도구",소계,55713,125347,62284,63063,55713,123521,61156,62365,1826,1128,698,55710,125140,62173,62967,55710,123333,61059,62274,1807,1114,693
"영도구",남항동,5302,11480,5913,5567,5302,11065,5556,5509,415,357,58,5305,11466,5914,5552,5305,11050,5555,5495,416,359,57
"영도구",영선1동,1896,4520,2248,2272,1896,4417,2167,2250,103,81,22,1892,4506,2237,2269,1892,4404,2156,2248,102,81,21
"영도구",영선2동,4088,9709,4754,4955,4088,9618,4699,4919,91,55,36,4076,9666,4731,4935,4076,9573,4675,4898,93,56,37
"영도구",신선동,5331,10741,5388,5353,5331,10680,5366,5314,61,22,39,5321,10694,5371,5323,5321,10634,5350,5284,60,21,39
"영도구",봉래1동,3493,7634,3776,3858,3493,7503,3695,3808,131,81,50,3494,7613,3760,3853,3494,7490,3686,3804,123,74,49
"영도구",봉래2동,2934,6174,3102,3072,2934,6134,3088,3046,40,14,26,2931,6145,3095,3050,2931,6106,3081,3025,39,14,25
"영도구",청학1동,3507,7730,3822,3908,3507,7613,3733,3880,117,89,28,3505,7712,3805,3907,3505,7598,3719,3879,114,86,28
"영도구",청학2동,8181,20243,10085,10158,8181,20057,9994,10063,186,91,95,8174,20232,10068,10164,8174,20045,9976,10069,187,92,95
"영도구",동삼1동,13006,31293,15321,15972,13006,30893,15129,15764,400,192,208,13058,31344,15350,15994,13058,30947,15164,15783,397,186,211
"영도구",동삼2동,1874,4009,2110,1899,1874,3797,1984,1813,212,126,86,1852,3976,2088,1888,1852,3771,1964,1807,205,124,81
"영도구",동삼3동,6101,11814,5765,6049,6101,11744,5745,5999,70,20,50,6102,11786,5754,6032,6102,11715,5733,5982,71,21,50
"부산진구",소계,166491,374504,182588,191916,166491,371703,181502,190201,2801,1086,1715,166392,373712,182189,191523,166392,370945,181110,189835,2767,1079,1688
"부산진구",부전1동,8105,13132,6556,6576,8105,12917,6469,6448,215,87,128,8116,13125,6564,6561,8116,12917,6479,6438,208,85,123
"부산진구",부전2동,5397,10789,5374,5415,5397,10589,5266,5323,200,108,92,5408,10788,5370,5418,5408,10581,5255,5326,207,115,92
"부산진구",연지동,8449,22058,10520,11538,8449,21980,10490,11490,78,30,48,8394,21918,10446,11472,8394,21837,10415,11422,81,31,50
"부산진구",초읍동,9298,21811,10630,11181,9298,21695,10589,11106,116,41,75,9282,21744,10581,11163,9282,21633,10543,11090,111,38,73
"부산진구",양정1동,9173,22094,10597,11497,9173,21981,10557,11424,113,40,73,9139,22014,10556,11458,9139,21900,10517,11383,114,39,75
"부산진구",양정2동,8673,16173,7667,8506,8673,16058,7627,8431,115,40,75,8724,16249,7713,8536,8724,16136,7672,8464,113,41,72
"부산진구",전포1동,9496,17500,8476,9024,9496,17325,8398,8927,175,78,97,9503,17489,8479,9010,9503,17307,8395,8912,182,84,98
"부산진구",전포2동,10944,22643,10810,11833,10944,22467,10726,11741,176,84,92,10930,22531,10739,11792,10930,22359,10659,11700,172,80,92
"부산진구",부암1동,9903,24564,12077,12487,9903,24438,12038,12400,126,39,87,9925,24565,12071,12494,9925,24441,12033,12408,124,38,86
