"동별(1)",동별(2),동별(3),2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",강남구,대치4동,10207,21265,10038,11227,20965,9891,11074,300,147,153,2.05,1856
"합계",강남구,역삼1동,23113,36861,17810,19051,35865,17318,18547,996,492,504,1.55,3400
"합계",강남구,역삼2동,14974,36822,17460,19362,36477,17251,19226,345,209,136,2.44,3356
"합계",강남구,도곡1동,8529,22844,10758,12086,22675,10671,12004,169,87,82,2.66,2640
"합계",강남구,도곡2동,11976,34704,16102,18602,34586,16031,18555,118,71,47,2.89,4194
"합계",강남구,개포1동,3082,7800,3782,4018,7771,3767,4004,29,15,14,2.52,1535
"합계",강남구,개포2동,4900,13855,6732,7123,13829,6723,7106,26,9,17,2.82,1800
"합계",강남구,개포4동,7862,18920,9268,9652,18773,9199,9574,147,69,78,2.39,2117
"합계",강남구,일원본동,8295,24781,12153,12628,24750,12143,12607,31,10,21,2.98,2498
"합계",강남구,일원1동,7621,17136,8382,8754,16940,8313,8627,196,69,127,2.22,2882
"합계",강남구,일원2동,6719,16593,7924,8669,16527,7894,8633,66,30,36,2.46,2681
"합계",강남구,수서동,7840,16421,7554,8867,16336,7525,8811,85,29,56,2.08,3813
"합계",강남구,세곡동,17639,45445,21701,23744,45241,21607,23634,204,94,110,2.56,5759
"합계",강남구,압구정동,10745,28146,12950,15196,27994,12884,15110,152,66,86,2.61,4689
"합계",강남구,청담동,12392,30185,14205,15980,29936,14066,15870,249,139,110,2.42,3852
"합계",송파구,소계,270866,673507,326849,346658,666635,323526,343109,6872,3323,3549,2.46,81364
"합계",송파구,풍납1동,6809,16380,8143,8237,15440,7665,7775,940,478,462,2.27,2637
"합계",송파구,풍납2동,10456,25149,12015,13134,24939,11920,13019,210,95,115,2.39,3091
"합계",송파구,거여1동,5422,13339,6803,6536,13232,6762,6470,107,41,66,2.44,2022
"합계",송파구,거여2동,7199,17299,8538,8761,17222,8507,8715,77,31,46,2.39,2869
"합계",송파구,마천1동,9174,21344,10873,10471,21141,10797,10344,203,76,127,2.30,3802
"합계",송파구,마천2동,8691,20684,10491,10193,20488,10418,10070,196,73,123,2.36,3636
"합계",송파구,방이1동,6201,16631,8070,8561,16506,8004,8502,125,66,59,2.66,1880
"합계",송파구,방이2동,12901,25801,12415,13386,25333,12208,13125,468,207,261,1.96,3004
"합계",송파구,오륜동,6016,19244,9419,9825,19228,9411,9817,16,8,8,3.20,2263
"합계",송파구,오금동,15548,41014,20082,20932,40749,19948,20801,265,134,131,2.62,5360
"합계",송파구,송파1동,12268,26401,12545,13856,25941,12305,13636,460,240,220,2.11,3068
"합계",송파구,송파2동,7315,21210,10290,10920,21014,10188,10826,196,102,94,2.87,2555
"합계",송파구,석촌동,16677,34760,16840,17920,33992,16455,17537,768,385,383,2.04,4012
"합계",송파구,삼전동,16366,33440,15916,17524,33014,15734,17280,426,182,244,2.02,3521
"합계",송파구,가락본동,11797,28353,14100,14253,27997,13919,14078,356,181,175,2.37,3197
"합계",송파구,가락1동,437,1115,540,575,1104,533,571,11,7,4,2.53,130
"합계",송파구,가락2동,12282,34455,16868,17587,34243,16770,17473,212,98,114,2.79,3577
"합계",송파구,문정1동,8588,21731,10792,10939,21512,10685,10827,219,107,112,2.50,2549
"합계",송파구,문정2동,15323,30140,14142,15998,30003,14083,15920,137,59,78,1.96,3364
"합계",송파구,장지동,13424,34892,16959,17933,34681,16856,17825,211,103,108,2.58,4057
"합계",송파구,잠실본동,14625,29756,14148,15608,29123,13831,15292,633,317,316,1.99,3310
"합계",송파구,잠실2동,12075,37069,17681,19388,36944,17611,19333,125,70,55,3.06,3061
"합계",송파구,잠실3동,12360,36546,17446,19100,36350,17339,19011,196,107,89,2.94,4794
"합계",송파구,잠실4동,10402,30089,14521,15568,29990,14477,15513,99,44,55,2.88,3469
"합계",송파구,잠실6동,5913,17461,8348,9113,17314,8262,9052,147,86,61,2.93,2371
"합계",송파구,잠실7동,3483,10369,4839,5530,10355,4833,5522,14,6,8,2.97,1914
"합계",송파구,위례동,9114,28835,14025,14810,28780,14005,14775,55,20,35,3.16,1851
"합계",강동구,소계,177247,431920,213853,218067,427573,211816,215757,4347,2037,2310,2.41,58770
"합계",강동구,상일동,4189,11138,5582,5556,11054,5541,5513,84,41,43,2.64,1484
"합계",강동구,명일1동,8179,22483,11045,11438,22408,11022,11386,75,23,52,2.74,2913
"합계",강동구,명일2동,5896,18020,8945,9075,17980,8933,9047,40,12,28,3.05,2072
"합계",강동구,고덕1동,9126,27469,13902,13567,27379,13866,13513,90,36,54,3.00,2492
"합계",강동구,고덕2동,3475,7709,4138,3571,7529,4005,3524,180,133,47,2.17,1386
"합계",강동구,암사1동,16309,37760,18780,18980,37433,18659,18774,327,121,206,2.30,5340
"합계",강동구,암사2동,5883,14711,7169,7542,14654,7145,7509,57,24,33,2.49,1969
"합계",강동구,암사3동,6360,18943,9303,9640,18896,9283,9613,47,20,27,2.97,2198
"합계",강동구,천호1동,12884,29144,14381,14763,28838,14259,14579,306,122,184,2.24,4555
"합계",강동구,천호2동,17630,36423,18282,18141,35638,17875,17763,785,407,378,2.02,5548
"합계",강동구,천호3동,13623,28568,14148,14420,27990,13865,14125,578,283,295,2.05,4232
"합계",강동구,성내1동,8205,20996,10173,10823,20867,10112,10755,129,61,68,2.54,2720
"합계",강동구,성내2동,12438,25725,12786,12939,24982,12420,12562,743,366,377,2.01,3831
"합계",강동구,성내3동,10209,24155,11993,12162,23896,11879,12017,259,114,145,2.34,3218
"합계",강동구,둔촌1동,184,317,150,167,301,143,158,16,7,9,1.64,100
"합계",강동구,둔촌2동,11147,28260,13969,14291,28126,13909,14217,134,60,74,2.52,3730
"합계",강동구,길동,20296,47171,23134,24037,46821,22999,23822,350,135,215,2.31,6649
"합계",강동구,강일동,11214,32928,15973,16955,32781,15901,16880,147,72,75,2.92,4333
