"동별(1)",동별(2),동별(3),2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",동작구,흑석동,13365,33231,15875,17356,30617,14978,15639,2614,897,1717,2.29,5138
"합계",관악구,소계,262222,520040,260742,259298,501957,252160,249797,18083,8582,9501,1.91,72249
"합계",관악구,남현동,9174,18998,9133,9865,18782,9026,9756,216,107,109,2.05,2467
"합계",관악구,보라매동,12042,26398,12921,13477,25230,12371,12859,1168,550,618,2.10,4028
"합계",관악구,청림동,6603,16527,8137,8390,16384,8073,8311,143,64,79,2.48,2568
"합계",관악구,행운동,16795,30438,14776,15662,29876,14552,15324,562,224,338,1.78,3987
"합계",관악구,낙성대동,10502,17780,8796,8984,16958,8444,8514,822,352,470,1.61,1902
"합계",관악구,중앙동,8981,15716,7530,8186,15284,7338,7946,432,192,240,1.70,2255
"합계",관악구,인헌동,13868,27293,13320,13973,26899,13154,13745,394,166,228,1.94,3601
"합계",관악구,서원동,13284,23933,12182,11751,23077,11797,11280,856,385,471,1.74,3028
"합계",관악구,신원동,10307,20119,10068,10051,18780,9364,9416,1339,704,635,1.82,3036
"합계",관악구,서림동,14173,24881,13642,11239,24239,13411,10828,642,231,411,1.71,3210
"합계",관악구,신사동,7532,17813,8310,9503,17564,8172,9392,249,138,111,2.33,2831
"합계",관악구,신림동,16126,22256,11194,11062,21363,10789,10574,893,405,488,1.32,1834
"합계",관악구,난향동,6477,16693,8284,8409,16568,8220,8348,125,64,61,2.56,2520
"합계",관악구,조원동,10011,19824,10122,9702,17606,8907,8699,2218,1215,1003,1.76,2521
"합계",관악구,대학동,15657,24823,14695,10128,23824,14326,9498,999,369,630,1.52,2584
"합계",관악구,은천동,15593,35797,17685,18112,35080,17357,17723,717,328,389,2.25,5294
"합계",관악구,성현동,13003,33033,16030,17003,32810,15924,16886,223,106,117,2.52,5247
"합계",관악구,청룡동,18357,30242,14610,15632,28789,13963,14826,1453,647,806,1.57,3652
"합계",관악구,난곡동,12743,29484,14870,14614,28870,14569,14301,614,301,313,2.27,4840
"합계",관악구,삼성동,11504,26068,13092,12976,25878,13018,12860,190,74,116,2.25,5346
"합계",관악구,미성동,14078,33295,16323,16972,32552,15951,16601,743,372,371,2.31,5088
"합계",서초구,소계,172918,438163,209977,228186,433951,207868,226083,4212,2109,2103,2.51,54751
"합계",서초구,서초1동,9232,21574,10435,11139,21327,10309,11018,247,126,121,2.31,2713
"합계",서초구,서초2동,8088,18506,8867,9639,18178,8676,9502,328,191,137,2.25,2022
